tablename,indexname,indexdef
listings,idx_listings_vertical,CREATE INDEX idx_listings_vertical ON public.listings USING btree (vertical_id)
listings,idx_listings_vertical_created,"CREATE INDEX idx_listings_vertical_created ON public.listings USING btree (vertical_id, deleted_at, created_at DESC) WHERE (deleted_at IS NULL)"
listings,idx_listings_vertical_status,"CREATE INDEX idx_listings_vertical_status ON public.listings USING btree (vertical_id, status) WHERE (deleted_at IS NULL)"
listings,idx_listings_vertical_status_created,"CREATE INDEX idx_listings_vertical_status_created ON public.listings USING btree (vertical_id, status, created_at DESC) WHERE (deleted_at IS NULL)"
listings,listings_pkey,CREATE UNIQUE INDEX listings_pkey ON public.listings USING btree (id)
market_booth_inventory,idx_market_booth_inventory_market,CREATE INDEX idx_market_booth_inventory_market ON public.market_booth_inventory USING btree (market_id)
market_booth_inventory,market_booth_inventory_market_id_size_label_key,"CREATE UNIQUE INDEX market_booth_inventory_market_id_size_label_key ON public.market_booth_inventory USING btree (market_id, size_label)"
market_booth_inventory,market_booth_inventory_pkey,CREATE UNIQUE INDEX market_booth_inventory_pkey ON public.market_booth_inventory USING btree (id)
market_booth_placeholders,idx_market_booth_placeholders_inventory,CREATE INDEX idx_market_booth_placeholders_inventory ON public.market_booth_placeholders USING btree (inventory_id) WHERE (inventory_id IS NOT NULL)
market_booth_placeholders,idx_market_booth_placeholders_market,CREATE INDEX idx_market_booth_placeholders_market ON public.market_booth_placeholders USING btree (market_id)
market_booth_placeholders,market_booth_placeholders_market_id_booth_number_key,"CREATE UNIQUE INDEX market_booth_placeholders_market_id_booth_number_key ON public.market_booth_placeholders USING btree (market_id, booth_number)"
market_booth_placeholders,market_booth_placeholders_pkey,CREATE UNIQUE INDEX market_booth_placeholders_pkey ON public.market_booth_placeholders USING btree (id)
market_box_offerings,idx_market_box_offerings_active,CREATE INDEX idx_market_box_offerings_active ON public.market_box_offerings USING btree (active) WHERE (active = true)
market_box_offerings,idx_market_box_offerings_market,CREATE INDEX idx_market_box_offerings_market ON public.market_box_offerings USING btree (pickup_market_id)
market_box_offerings,idx_market_box_offerings_quantity_unit,CREATE INDEX idx_market_box_offerings_quantity_unit ON public.market_box_offerings USING btree (quantity_unit) WHERE (quantity_unit IS NOT NULL)
market_box_offerings,idx_market_box_offerings_vendor,CREATE INDEX idx_market_box_offerings_vendor ON public.market_box_offerings USING btree (vendor_profile_id)
market_box_offerings,idx_market_box_offerings_vendor_active,"CREATE INDEX idx_market_box_offerings_vendor_active ON public.market_box_offerings USING btree (vendor_profile_id, active)"
market_box_offerings,idx_market_box_offerings_vertical,CREATE INDEX idx_market_box_offerings_vertical ON public.market_box_offerings USING btree (vertical_id)
market_box_offerings,idx_market_box_premium_window,CREATE INDEX idx_market_box_premium_window ON public.market_box_offerings USING btree (premium_window_ends_at) WHERE (premium_window_ends_at IS NOT NULL)
market_box_offerings,market_box_offerings_pkey,CREATE UNIQUE INDEX market_box_offerings_pkey ON public.market_box_offerings USING btree (id)
market_box_pickups,idx_market_box_pickups_date,CREATE INDEX idx_market_box_pickups_date ON public.market_box_pickups USING btree (scheduled_date)
market_box_pickups,idx_market_box_pickups_status,CREATE INDEX idx_market_box_pickups_status ON public.market_box_pickups USING btree (status)
market_box_pickups,idx_market_box_pickups_sub,CREATE INDEX idx_market_box_pickups_sub ON public.market_box_pickups USING btree (subscription_id)
market_box_pickups,idx_market_box_pickups_sub_date_status,"CREATE INDEX idx_market_box_pickups_sub_date_status ON public.market_box_pickups USING btree (subscription_id, scheduled_date, status) WHERE (status = ANY (ARRAY['scheduled'::market_box_pickup_status, 'ready'::market_box_pickup_status]))"
market_box_pickups,idx_market_box_pickups_upcoming,"CREATE INDEX idx_market_box_pickups_upcoming ON public.market_box_pickups USING btree (scheduled_date, status) WHERE (status = ANY (ARRAY['scheduled'::market_box_pickup_status, 'ready'::market_box_pickup_status]))"
market_box_pickups,market_box_pickups_pkey,CREATE UNIQUE INDEX market_box_pickups_pkey ON public.market_box_pickups USING btree (id)
market_box_pickups,market_box_pickups_subscription_id_week_number_key,"CREATE UNIQUE INDEX market_box_pickups_subscription_id_week_number_key ON public.market_box_pickups USING btree (subscription_id, week_number)"
market_box_subscriptions,idx_market_box_subs_active,"CREATE INDEX idx_market_box_subs_active ON public.market_box_subscriptions USING btree (offering_id, status) WHERE (status = 'active'::market_box_subscription_status)"
market_box_subscriptions,idx_market_box_subs_buyer,CREATE INDEX idx_market_box_subs_buyer ON public.market_box_subscriptions USING btree (buyer_user_id)
market_box_subscriptions,idx_market_box_subs_offering,CREATE INDEX idx_market_box_subs_offering ON public.market_box_subscriptions USING btree (offering_id)
market_box_subscriptions,idx_market_box_subs_order,CREATE INDEX idx_market_box_subs_order ON public.market_box_subscriptions USING btree (order_id)
market_box_subscriptions,idx_market_box_subs_status,CREATE INDEX idx_market_box_subs_status ON public.market_box_subscriptions USING btree (status)
market_box_subscriptions,idx_market_box_subscriptions_buyer_offering,"CREATE INDEX idx_market_box_subscriptions_buyer_offering ON public.market_box_subscriptions USING btree (buyer_user_id, offering_id, status)"
market_box_subscriptions,idx_market_box_subscriptions_offering_status,"CREATE INDEX idx_market_box_subscriptions_offering_status ON public.market_box_subscriptions USING btree (offering_id, status)"
market_box_subscriptions,idx_market_box_subscriptions_payment_intent,CREATE UNIQUE INDEX idx_market_box_subscriptions_payment_intent ON public.market_box_subscriptions USING btree (stripe_payment_intent_id) WHERE (stripe_payment_intent_id IS NOT NULL)
market_box_subscriptions,idx_market_box_subscriptions_user,"CREATE INDEX idx_market_box_subscriptions_user ON public.market_box_subscriptions USING btree (buyer_user_id, status)"
market_box_subscriptions,market_box_subscriptions_pkey,CREATE UNIQUE INDEX market_box_subscriptions_pkey ON public.market_box_subscriptions USING btree (id)
market_broadcasts,idx_market_broadcasts_market,"CREATE INDEX idx_market_broadcasts_market ON public.market_broadcasts USING btree (market_id, created_at DESC)"
market_broadcasts,market_broadcasts_pkey,CREATE UNIQUE INDEX market_broadcasts_pkey ON public.market_broadcasts USING btree (id)
market_bundle_components,idx_market_bundle_components_listing,CREATE INDEX idx_market_bundle_components_listing ON public.market_bundle_components USING btree (listing_id)
market_bundle_components,market_bundle_components_bundle_id_listing_id_key,"CREATE UNIQUE INDEX market_bundle_components_bundle_id_listing_id_key ON public.market_bundle_components USING btree (bundle_id, listing_id)"
market_bundle_components,market_bundle_components_pkey,CREATE UNIQUE INDEX market_bundle_components_pkey ON public.market_bundle_components USING btree (id)
market_bundles,idx_market_bundles_active,"CREATE INDEX idx_market_bundles_active ON public.market_bundles USING btree (market_id, pickup_market_date) WHERE (status = 'active'::text)"
market_bundles,idx_market_bundles_market,CREATE INDEX idx_market_bundles_market ON public.market_bundles USING btree (market_id)
market_bundles,market_bundles_pkey,CREATE UNIQUE INDEX market_bundles_pkey ON public.market_bundles USING btree (id)
market_date_overrides,idx_market_date_overrides_market_date,"CREATE INDEX idx_market_date_overrides_market_date ON public.market_date_overrides USING btree (market_id, override_date)"
market_date_overrides,market_date_overrides_market_id_override_date_key,"CREATE UNIQUE INDEX market_date_overrides_market_id_override_date_key ON public.market_date_overrides USING btree (market_id, override_date)"
market_date_overrides,market_date_overrides_pkey,CREATE UNIQUE INDEX market_date_overrides_pkey ON public.market_date_overrides USING btree (id)
market_day_checkins,idx_market_day_checkins_market_date,"CREATE INDEX idx_market_day_checkins_market_date ON public.market_day_checkins USING btree (market_id, market_date)"
market_day_checkins,idx_market_day_checkins_vendor_date,"CREATE INDEX idx_market_day_checkins_vendor_date ON public.market_day_checkins USING btree (vendor_profile_id, market_date)"
market_day_checkins,market_day_checkins_market_id_vendor_profile_id_market_date_key,"CREATE UNIQUE INDEX market_day_checkins_market_id_vendor_profile_id_market_date_key ON public.market_day_checkins USING btree (market_id, vendor_profile_id, market_date)"
market_day_checkins,market_day_checkins_pkey,CREATE UNIQUE INDEX market_day_checkins_pkey ON public.market_day_checkins USING btree (id)
market_day_notification_log,idx_market_day_notif_log_market,"CREATE INDEX idx_market_day_notif_log_market ON public.market_day_notification_log USING btree (market_id, market_date DESC)"
market_day_notification_log,market_day_notification_log_market_id_market_date_key,"CREATE UNIQUE INDEX market_day_notification_log_market_id_market_date_key ON public.market_day_notification_log USING btree (market_id, market_date)"
market_day_notification_log,market_day_notification_log_pkey,CREATE UNIQUE INDEX market_day_notification_log_pkey ON public.market_day_notification_log USING btree (id)
