proname,args,owner
geometry_above,"geom1 geometry, geom2 geometry",postgis
geometry_analyze,internal,postgis
geometry_below,"geom1 geometry, geom2 geometry",postgis
geometry_cmp,"geom1 geometry, geom2 geometry",postgis
geometry_contained_3d,"geom1 geometry, geom2 geometry",postgis
geometry_contains,"geom1 geometry, geom2 geometry",postgis
geometry_contains_3d,"geom1 geometry, geom2 geometry",postgis
geometry_contains_nd,"geometry, geometry",postgis
geometry_distance_box,"geom1 geometry, geom2 geometry",postgis
geometry_distance_centroid,"geom1 geometry, geom2 geometry",postgis
geometry_distance_centroid_nd,"geometry, geometry",postgis
geometry_distance_cpa,"geometry, geometry",postgis
geometry_eq,"geom1 geometry, geom2 geometry",postgis
geometry_ge,"geom1 geometry, geom2 geometry",postgis
geometry_gist_compress_2d,internal,postgis
geometry_gist_compress_nd,internal,postgis
geometry_gist_consistent_2d,"internal, geometry, integer",postgis
geometry_gist_consistent_nd,"internal, geometry, integer",postgis
geometry_gist_decompress_2d,internal,postgis
geometry_gist_decompress_nd,internal,postgis
geometry_gist_distance_2d,"internal, geometry, integer",postgis
geometry_gist_distance_nd,"internal, geometry, integer",postgis
geometry_gist_penalty_2d,"internal, internal, internal",postgis
geometry_gist_penalty_nd,"internal, internal, internal",postgis
geometry_gist_picksplit_2d,"internal, internal",postgis
geometry_gist_picksplit_nd,"internal, internal",postgis
geometry_gist_same_2d,"geom1 geometry, geom2 geometry, internal",postgis
geometry_gist_same_nd,"geometry, geometry, internal",postgis
geometry_gist_sortsupport_2d,internal,postgis
geometry_gist_union_2d,"bytea, internal",postgis
geometry_gist_union_nd,"bytea, internal",postgis
geometry_gt,"geom1 geometry, geom2 geometry",postgis
geometry_hash,geometry,postgis
geometry_in,cstring,postgis
geometry_le,"geom1 geometry, geom2 geometry",postgis
geometry_left,"geom1 geometry, geom2 geometry",postgis
geometry_lt,"geom1 geometry, geom2 geometry",postgis
geometry_out,geometry,postgis
geometry_overabove,"geom1 geometry, geom2 geometry",postgis
geometry_overbelow,"geom1 geometry, geom2 geometry",postgis
geometry_overlaps,"geom1 geometry, geom2 geometry",postgis
geometry_overlaps_3d,"geom1 geometry, geom2 geometry",postgis
geometry_overlaps_nd,"geometry, geometry",postgis
geometry_overleft,"geom1 geometry, geom2 geometry",postgis
geometry_overright,"geom1 geometry, geom2 geometry",postgis
geometry_recv,internal,postgis
geometry_right,"geom1 geometry, geom2 geometry",postgis
geometry_same,"geom1 geometry, geom2 geometry",postgis
geometry_same_3d,"geom1 geometry, geom2 geometry",postgis
geometry_same_nd,"geometry, geometry",postgis
geometry_send,geometry,postgis
geometry_sortsupport,internal,postgis
geometry_spgist_choose_2d,"internal, internal",postgis
geometry_spgist_choose_3d,"internal, internal",postgis
geometry_spgist_choose_nd,"internal, internal",postgis
geometry_spgist_compress_2d,internal,postgis
geometry_spgist_compress_3d,internal,postgis
geometry_spgist_compress_nd,internal,postgis
geometry_spgist_config_2d,"internal, internal",postgis
geometry_spgist_config_3d,"internal, internal",postgis
geometry_spgist_config_nd,"internal, internal",postgis
geometry_spgist_inner_consistent_2d,"internal, internal",postgis
geometry_spgist_inner_consistent_3d,"internal, internal",postgis
geometry_spgist_inner_consistent_nd,"internal, internal",postgis
geometry_spgist_leaf_consistent_2d,"internal, internal",postgis
geometry_spgist_leaf_consistent_3d,"internal, internal",postgis
geometry_spgist_leaf_consistent_nd,"internal, internal",postgis
geometry_spgist_picksplit_2d,"internal, internal",postgis
geometry_spgist_picksplit_3d,"internal, internal",postgis
geometry_spgist_picksplit_nd,"internal, internal",postgis
geometry_typmod_in,cstring[],postgis
geometry_typmod_out,integer,postgis
geometry_within,"geom1 geometry, geom2 geometry",postgis
geometry_within_nd,"geometry, geometry",postgis
geometrytype,geometry,postgis
geometrytype,geography,postgis
geomfromewkb,bytea,postgis
geomfromewkt,text,postgis
get_proj4_from_srid,integer,postgis
gettransactionid,,postgis
gidx_in,cstring,postgis
gidx_out,gidx,postgis
gserialized_gist_joinsel_2d,"internal, oid, internal, smallint",postgis
gserialized_gist_joinsel_nd,"internal, oid, internal, smallint",postgis
gserialized_gist_sel_2d,"internal, oid, internal, integer",postgis
gserialized_gist_sel_nd,"internal, oid, internal, integer",postgis
is_contained_2d,"geometry, box2df",postgis
is_contained_2d,"box2df, geometry",postgis
is_contained_2d,"box2df, box2df",postgis
json,geometry,postgis
jsonb,geometry,postgis
lockrow,"text, text, text, text",postgis
lockrow,"text, text, text, timestamp without time zone",postgis
lockrow,"text, text, text",postgis
lockrow,"text, text, text, text, timestamp without time zone",postgis
longtransactionsenabled,,postgis
overlaps_2d,"geometry, box2df",postgis
overlaps_2d,"box2df, geometry",postgis
overlaps_2d,"box2df, box2df",postgis
overlaps_geog,"geography, gidx",postgis
overlaps_geog,"gidx, gidx",postgis
overlaps_geog,"gidx, geography",postgis
overlaps_nd,"gidx, gidx",postgis
overlaps_nd,"gidx, geometry",postgis
overlaps_nd,"geometry, gidx",postgis
path,geometry,postgis
pgis_asflatgeobuf_finalfn,internal,postgis
pgis_asflatgeobuf_transfn,"internal, anyelement, boolean",postgis
pgis_asflatgeobuf_transfn,"internal, anyelement, boolean, text",postgis
pgis_asflatgeobuf_transfn,"internal, anyelement",postgis
pgis_asgeobuf_finalfn,internal,postgis
pgis_asgeobuf_transfn,"internal, anyelement",postgis
pgis_asgeobuf_transfn,"internal, anyelement, text",postgis
pgis_asmvt_combinefn,"internal, internal",postgis
pgis_asmvt_deserialfn,"bytea, internal",postgis
pgis_asmvt_finalfn,internal,postgis
pgis_asmvt_serialfn,internal,postgis
pgis_asmvt_transfn,"internal, anyelement, text, integer, text",postgis
pgis_asmvt_transfn,"internal, anyelement, text, integer, text, text",postgis
pgis_asmvt_transfn,"internal, anyelement, text, integer",postgis
pgis_asmvt_transfn,"internal, anyelement, text",postgis
pgis_asmvt_transfn,"internal, anyelement",postgis
pgis_geometry_accum_transfn,"internal, geometry, double precision",postgis
pgis_geometry_accum_transfn,"internal, geometry, double precision, integer",postgis
pgis_geometry_accum_transfn,"internal, geometry",postgis
pgis_geometry_clusterintersecting_finalfn,internal,postgis
pgis_geometry_clusterwithin_finalfn,internal,postgis
pgis_geometry_collect_finalfn,internal,postgis
pgis_geometry_makeline_finalfn,internal,postgis
pgis_geometry_polygonize_finalfn,internal,postgis
pgis_geometry_union_parallel_combinefn,"internal, internal",postgis
pgis_geometry_union_parallel_deserialfn,"bytea, internal",postgis
pgis_geometry_union_parallel_finalfn,internal,postgis
pgis_geometry_union_parallel_serialfn,internal,postgis
pgis_geometry_union_parallel_transfn,"internal, geometry",postgis
pgis_geometry_union_parallel_transfn,"internal, geometry, double precision",postgis
point,geometry,postgis
polygon,geometry,postgis
populate_geometry_columns,"tbl_oid oid, use_typmod boolean",postgis
populate_geometry_columns,use_typmod boolean,postgis
postgis_addbbox,geometry,postgis
postgis_cache_bbox,,postgis
postgis_constraint_dims,"geomschema text, geomtable text, geomcolumn text",postgis
postgis_constraint_srid,"geomschema text, geomtable text, geomcolumn text",postgis
postgis_constraint_type,"geomschema text, geomtable text, geomcolumn text",postgis
postgis_dropbbox,geometry,postgis
postgis_extensions_upgrade,,postgis
postgis_full_version,,postgis
postgis_geos_noop,geometry,postgis
postgis_geos_version,,postgis
postgis_getbbox,geometry,postgis
postgis_hasbbox,geometry,postgis
postgis_index_supportfn,internal,postgis
postgis_lib_build_date,,postgis
postgis_lib_revision,,postgis
postgis_lib_version,,postgis
postgis_libjson_version,,postgis
postgis_liblwgeom_version,,postgis
postgis_libprotobuf_version,,postgis
postgis_libxml_version,,postgis
postgis_noop,geometry,postgis
postgis_proj_version,,postgis
postgis_scripts_build_date,,postgis
postgis_scripts_installed,,postgis
postgis_scripts_released,,postgis
postgis_svn_version,,postgis
postgis_transform_geometry,"geom geometry, text, text, integer",postgis
postgis_type_name,"geomname character varying, coord_dimension integer, use_new_name boolean",postgis
postgis_typmod_dims,integer,postgis
postgis_typmod_srid,integer,postgis
postgis_typmod_type,integer,postgis
postgis_version,,postgis
postgis_wagyu_version,,postgis
spheroid_in,cstring,postgis
spheroid_out,spheroid,postgis
st_3dclosestpoint,"geom1 geometry, geom2 geometry",postgis
st_3ddfullywithin,"geom1 geometry, geom2 geometry, double precision",postgis
st_3ddistance,"geom1 geometry, geom2 geometry",postgis
st_3ddwithin,"geom1 geometry, geom2 geometry, double precision",postgis
st_3dintersects,"geom1 geometry, geom2 geometry",postgis
st_3dlength,geometry,postgis
st_3dlineinterpolatepoint,"geometry, double precision",postgis
st_3dlongestline,"geom1 geometry, geom2 geometry",postgis
st_3dmakebox,"geom1 geometry, geom2 geometry",postgis
st_3dmaxdistance,"geom1 geometry, geom2 geometry",postgis
st_3dperimeter,geometry,postgis
st_3dshortestline,"geom1 geometry, geom2 geometry",postgis
st_addmeasure,"geometry, double precision, double precision",postgis
st_addpoint,"geom1 geometry, geom2 geometry, integer",postgis
st_addpoint,"geom1 geometry, geom2 geometry",postgis
st_affine,"geometry, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision",postgis
st_affine,"geometry, double precision, double precision, double precision, double precision, double precision, double precision",postgis
st_angle,"pt1 geometry, pt2 geometry, pt3 geometry, pt4 geometry",postgis
st_angle,"line1 geometry, line2 geometry",postgis
st_area,geometry,postgis
st_area,text,postgis
st_area,"geog geography, use_spheroid boolean",postgis
st_area2d,geometry,postgis
st_asbinary,"geometry, text",postgis
st_asbinary,"geography, text",postgis
st_asbinary,geometry,postgis
st_asbinary,geography,postgis
st_asencodedpolyline,"geom geometry, nprecision integer",postgis
st_asewkb,geometry,postgis
st_asewkb,"geometry, text",postgis
st_asewkt,text,postgis
st_asewkt,"geometry, integer",postgis
st_asewkt,geography,postgis
st_asewkt,"geography, integer",postgis
st_asewkt,geometry,postgis
st_asgeojson,"geog geography, maxdecimaldigits integer, options integer",postgis
st_asgeojson,text,postgis
st_asgeojson,"r record, geom_column text, maxdecimaldigits integer, pretty_bool boolean",postgis
st_asgeojson,"geom geometry, maxdecimaldigits integer, options integer",postgis
st_asgml,"geog geography, maxdecimaldigits integer, options integer, nprefix text, id text",postgis
st_asgml,"version integer, geom geometry, maxdecimaldigits integer, options integer, nprefix text, id text",postgis
st_asgml,text,postgis
st_asgml,"geom geometry, maxdecimaldigits integer, options integer",postgis
st_asgml,"version integer, geog geography, maxdecimaldigits integer, options integer, nprefix text, id text",postgis
st_ashexewkb,geometry,postgis
st_ashexewkb,"geometry, text",postgis
st_askml,text,postgis
st_askml,"geog geography, maxdecimaldigits integer, nprefix text",postgis
st_askml,"geom geometry, maxdecimaldigits integer, nprefix text",postgis
st_aslatlontext,"geom geometry, tmpl text",postgis
st_asmarc21,"geom geometry, format text",postgis
st_asmvtgeom,"geom geometry, bounds box2d, extent integer, buffer integer, clip_geom boolean",postgis
st_assvg,"geom geometry, rel integer, maxdecimaldigits integer",postgis
st_assvg,text,postgis
st_assvg,"geog geography, rel integer, maxdecimaldigits integer",postgis
st_astext,geography,postgis
st_astext,text,postgis
st_astext,"geography, integer",postgis
st_astext,"geometry, integer",postgis
st_astext,geometry,postgis
st_astwkb,"geom geometry, prec integer, prec_z integer, prec_m integer, with_sizes boolean, with_boxes boolean",postgis
st_astwkb,"geom geometry[], ids bigint[], prec integer, prec_z integer, prec_m integer, with_sizes boolean, with_boxes boolean",postgis
st_asx3d,"geom geometry, maxdecimaldigits integer, options integer",postgis
st_azimuth,"geog1 geography, geog2 geography",postgis
st_azimuth,"geom1 geometry, geom2 geometry",postgis
st_bdmpolyfromtext,"text, integer",postgis
st_bdpolyfromtext,"text, integer",postgis
st_boundary,geometry,postgis
st_boundingdiagonal,"geom geometry, fits boolean",postgis
st_box2dfromgeohash,"text, integer",postgis
st_buffer,"geography, double precision, text",postgis
st_buffer,"geom geometry, radius double precision, options text",postgis
st_buffer,"geom geometry, radius double precision, quadsegs integer",postgis
st_buffer,"geography, double precision",postgis
st_buffer,"geography, double precision, integer",postgis
st_buffer,"text, double precision",postgis
st_buffer,"text, double precision, integer",postgis
st_buffer,"text, double precision, text",postgis
st_buildarea,geometry,postgis
st_centroid,geometry,postgis
st_centroid,"geography, use_spheroid boolean",postgis
st_centroid,text,postgis
st_chaikinsmoothing,"geometry, integer, boolean",postgis
st_cleangeometry,geometry,postgis
st_clipbybox2d,"geom geometry, box box2d",postgis
st_closestpoint,"geom1 geometry, geom2 geometry",postgis
st_closestpointofapproach,"geometry, geometry",postgis
st_clusterintersecting,geometry[],postgis
st_clusterwithin,"geometry[], double precision",postgis
st_collect,geometry[],postgis
st_collect,"geom1 geometry, geom2 geometry",postgis
st_collectionextract,"geometry, integer",postgis
st_collectionextract,geometry,postgis
st_collectionhomogenize,geometry,postgis
st_combinebbox,"box2d, geometry",postgis
st_combinebbox,"box3d, geometry",postgis
st_combinebbox,"box3d, box3d",postgis
