function_name,arguments,return_type,security
geometry,geography,geometry,SECURITY INVOKER
geometry,path,geometry,SECURITY INVOKER
geometry,point,geometry,SECURITY INVOKER
geometry,"geometry, integer, boolean",geometry,SECURITY INVOKER
geometry,bytea,geometry,SECURITY INVOKER
geometry,box2d,geometry,SECURITY INVOKER
geometry,polygon,geometry,SECURITY INVOKER
geometry_above,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_analyze,internal,boolean,SECURITY INVOKER
geometry_below,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_cmp,"geom1 geometry, geom2 geometry",integer,SECURITY INVOKER
geometry_contained_3d,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_contains,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_contains_3d,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_contains_nd,"geometry, geometry",boolean,SECURITY INVOKER
geometry_distance_box,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
geometry_distance_centroid,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
geometry_distance_centroid_nd,"geometry, geometry",double precision,SECURITY INVOKER
geometry_distance_cpa,"geometry, geometry",double precision,SECURITY INVOKER
geometry_eq,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_ge,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_gist_compress_2d,internal,internal,SECURITY INVOKER
geometry_gist_compress_nd,internal,internal,SECURITY INVOKER
geometry_gist_consistent_2d,"internal, geometry, integer",boolean,SECURITY INVOKER
geometry_gist_consistent_nd,"internal, geometry, integer",boolean,SECURITY INVOKER
geometry_gist_decompress_2d,internal,internal,SECURITY INVOKER
geometry_gist_decompress_nd,internal,internal,SECURITY INVOKER
geometry_gist_distance_2d,"internal, geometry, integer",double precision,SECURITY INVOKER
geometry_gist_distance_nd,"internal, geometry, integer",double precision,SECURITY INVOKER
geometry_gist_penalty_2d,"internal, internal, internal",internal,SECURITY INVOKER
geometry_gist_penalty_nd,"internal, internal, internal",internal,SECURITY INVOKER
geometry_gist_picksplit_2d,"internal, internal",internal,SECURITY INVOKER
geometry_gist_picksplit_nd,"internal, internal",internal,SECURITY INVOKER
geometry_gist_same_2d,"geom1 geometry, geom2 geometry, internal",internal,SECURITY INVOKER
geometry_gist_same_nd,"geometry, geometry, internal",internal,SECURITY INVOKER
geometry_gist_sortsupport_2d,internal,void,SECURITY INVOKER
geometry_gist_union_2d,"bytea, internal",internal,SECURITY INVOKER
geometry_gist_union_nd,"bytea, internal",internal,SECURITY INVOKER
geometry_gt,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_hash,geometry,integer,SECURITY INVOKER
geometry_in,cstring,geometry,SECURITY INVOKER
geometry_le,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_left,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_lt,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_out,geometry,cstring,SECURITY INVOKER
geometry_overabove,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_overbelow,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
geometry_overlaps,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
